城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼高 电梯 车位 用水 用电 燃气 供暖 
4 13 55 1057 58 1 2 2000 0 1 1 1 2 0 1 1 14 2 0 1 1 1 0
4 13 85 1182 66 1 2 1000 0 2 1 1 2 0 1 3 5 1 0 1 1 1 0
4 4 66 449 9 1 4 1390 1 3 1 1 2 12 4 2 16 0 0 0 0 0 0
4 9 118 255 10 1 4 1590 1 4 1 2 2 12 4 1 6 2 0 1 1 2 0
4 12 102 681 25 1 2 2800 3 3 1 3 2 12 4 1 35 2 2 1 1 2 2
4 14 140 969 15 1 2 2800 0 1 1 1 2 0 1 3 6 1 0 1 1 1 0
4 6 75 1595 40 1 2 3000 0 1 1 1 2 0 1 2 6 1 0 1 1 1 0
4 13 92 653 12 1 2 1500 3 4 1 1 2 12 4 3 18 2 2 1 1 1 2
4 1 33 906 12 1 2 1400 1 3 1 1 2 12 4 1 6 1 2 1 1 1 0
4 3 19 767 86 1 2 8700 1 2 1 1 1 24 1 3 25 2 0 1 1 1 0
4 12 26 415 39 1 2 4800 0 1 0 1 2 0 4 2 6 1 0 1 1 1 0
4 6 89 1076 41 1 2 4000 0 1 1 1 1 0 1 2 6 1 0 1 1 1 0
4 6 151 1448 12 1 4 1700 1 4 1 2 2 12 4 2 24 2 2 1 1 2 0
4 13 85 1074 91 1 2 3500 0 2 2 1 2 0 3 3 18 2 0 1 1 1 0
4 8 47 1417 16 1 2 4800 3 4 2 2 2 12 4 2 28 2 0 1 1 2 0
4 4 125 1490 10 1 4 1250 3 3 1 1 2 12 4 1 18 1 2 1 1 2 0
4 3 116 9 130 1 2 13500 1 3 2 2 2 12 1 3 12 2 0 1 1 1 0
4 13 29 843 56 1 2 3600 1 1 1 1 2 12 1 2 18 2 0 1 1 2 0
4 13 85 499 96 1 2 3600 0 2 2 1 2 0 1 3 6 1 0 1 1 1 0
4 9 118 1052 15 1 2 1830 1 3 1 1 2 12 4 3 6 1 0 1 1 2 0
4 3 9 515 126 1 6 15000 0 3 2 2 2 0 1 1 37 2 0 1 1 2 0
4 12 106 1338 15 1 2 3300 3 4 1 2 2 0 4 2 27 2 0 1 1 2 0
4 2 103 911 50 1 1 1800 0 1 1 1 2 0 1 2 20 1 0 1 1 1 0
4 12 106 397 30 1 2 5300 1 1 1 1 1 12 1 2 5 1 0 1 1 1 2
4 12 150 303 20 1 2 2500 1 3 1 1 2 0 4 3 6 1 0 0 0 2 2
4 9 86 175 8 1 4 1490 1 3 1 1 2 12 4 3 9 2 2 1 1 2 0
4 13 37 447 20 1 2 1500 1 3 1 1 2 12 4 3 11 2 2 1 1 1 0
4 13 55 1385 73 1 2 3100 0 2 1 1 2 0 1 3 5 1 0 1 1 1 0
4 13 12 468 39 1 2 3400 0 1 1 1 2 0 1 3 7 1 0 1 1 1 0
4 9 42 317 28 1 2 1799 3 1 1 1 2 12 4 3 4 0 0 0 0 0 0
4 6 73 1500 48 1 2 4600 0 1 1 1 1 0 1 3 7 1 0 1 1 1 0
4 10 57 1469 14 1 2 2430 1 3 1 1 2 12 4 2 7 1 0 1 1 2 0
4 13 41 880 35 1 2 3300 0 1 1 1 2 0 1 3 6 1 0 1 1 1 0
4 6 89 854 54 1 2 4300 0 2 0 1 1 0 1 2 7 1 0 1 1 1 0
