房源编号 城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼层 电梯 车位 用水 用电 燃气 供暖
SH2315171469564583936 上海 黄浦 五里桥 江南新苑 20 合租 南 3600元/月 (月付价) 3室 1厅 1卫 随时入住 3个月 随时可 3 6层 有 免费使用 民水 民电 无 自采暖 
SH2307762132470464512 上海 浦东 康桥 海尚乐苑 58 整租 南 2000元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 14层 有 NULL 民水 民电 无 NULL 
SH2306282504694267904 上海 浦东 惠南 锦绣汇丽苑 66 整租 南 1000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2313686419643834368 上海 宝山 上大 丰翔新城 9 合租 北 1390元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 6 16层 NULL NULL NULL NULL NULL NULL 
SH2315246960518905856 上海 闵行 颛桥 金都花好悦园 10 合租 北 1590元/月 (季付价) 4室 1厅 2卫 随时入住 1年 随时可 1 6层 有 NULL 民水 民电 有 NULL 
SH2313025979721203712 上海 徐汇 漕河泾 华悦家园 25 合租 南 2800元/月 (月付价) 3室 1厅 3卫 随时入住 1年 随时可 9 35层 有 租用车位 民水 民电 有 自采暖 
SH2303349848990294016 上海 杨浦 五角场 国年路135弄 15 整租 南 2800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2302938364540108800 上海 普陀 桃浦 桃浦一村(武威路1051弄) 40 整租 南 3000元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2315101206566928384 上海 浦东 曹路 金海华城永华苑 12 合租 南 1500元/月 (月付价) 4室 1厅 1卫 随时入住 7~12个月 随时可 18 18层 有 租用车位 民水 民电 无 自采暖 
SH2302671551440355328 上海 松江 松江新城 天乐新村 12 合租 南 1400元/月 (季付价) 3室 1厅 1卫 随时入住 1年以上 随时可 1 6层 无 租用车位 民水 民电 无 NULL 
SH2314959386646151168 上海 黄浦 世博滨江 越纪公寓 86 整租 南 8700元/月 (季付价) 2室 1厅 1卫 2019-08-20 2年以内 需提前预约 高楼层 25层 有 NULL 民水 民电 无 NULL 
SH2313689120028753920 上海 徐汇 康健 康乐小区(徐汇) 39 整租 南 4800元/月 NULL 1室 0厅 1卫 随时入住 NULL 随时可 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312933207051337728 上海 普陀 甘泉宜川 章家巷小区 41 整租 南 4000元/月 NULL 1室 1厅 1卫 2019-09-01 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314342613572403200 上海 普陀 真光 阳光威尼斯(二期) 12 合租 北 1700元/月 (季付价) 4室 1厅 2卫 随时入住 1年 随时可 11 24层 有 租用车位 民水 民电 有 NULL 
SH2307916985226502144 上海 浦东 惠南 华钜御庭(二期)(公寓) 91 整租 南 3500元/月 NULL 2室 2厅 1卫 随时入住 NULL 一般下班后可 高楼层 18层 有 NULL 民水 民电 无 NULL 
SH2312864165762973696 上海 静安 曹家渡 达安花园 16 合租 南 4800元/月 (月付价) 4室 2厅 2卫 随时入住 1年以上 随时可 18 28层 有 NULL 民水 民电 有 NULL 
SH2313688315779891200 上海 宝山 罗店 美罗家园年吉苑 10 合租 北 1250元/月 (月付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 5 18层 无 租用车位 民水 民电 有 NULL 
SH2244885409756880896 上海 黄浦 五里桥 江南新苑 130 整租 南/北 13500元/月 (季付价) 3室 2厅 2卫 随时入住 1年以内 需提前预约 高楼层 12层 有 NULL 民水 民电 无 NULL 
SH2278144321045929984 上海 浦东 外高桥 南新西园 56 整租 南 3600元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 18层 有 NULL 民水 民电 有 NULL 
SH2274349231655354368 上海 浦东 惠南 甬申金地城 96 整租 南 3600元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314993770317217792 上海 闵行 颛桥 颛溪七村 15 合租 南 1830元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 5 6层 无 NULL 民水 民电 有 NULL 
SH2306535302434660352 上海 黄浦 打浦桥 大同花园南区 126 整租 东南 15000元/月 NULL 3室 2厅 2卫 随时入住 NULL 需提前预约 低楼层 37层 有 NULL 民水 民电 有 NULL 
SH2305925002102579200 上海 徐汇 龙华 西雅图嘉萱苑 15 合租 南 3300元/月 (月付价) 4室 1厅 2卫 随时入住 5个月 随时可 9 27层 有 NULL 民水 民电 有 NULL 
SH2314485753205497856 上海 嘉定 嘉定新城 好世商业广场 50 整租 东 1800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 20层 无 NULL 民水 民电 无 NULL 
SH2280132383015436288 上海 徐汇 龙华 宛南一村 30 整租 南 5300元/月 (季付价) 1室 1厅 1卫 2019-08-06 1年以内 需提前预约 中楼层 5层 无 NULL 民水 民电 无 自采暖 
SH2302258487784652800 上海 徐汇 徐汇滨江 滨江小区 20 合租 南 2500元/月 (季付价) 3室 1厅 1卫 随时入住 1个月以上 随时可 6 6层 无 NULL NULL NULL 有 自采暖 
SH2314428329157206016 上海 闵行 浦江 滨浦新苑六村 8 合租 北 1490元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 9 9层 有 租用车位 民水 民电 有 NULL 
SH2307897245279985664 上海 浦东 周浦 繁荣安居 20 合租 南 1500元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 10 11层 有 租用车位 民水 民电 无 NULL 
SH2303338093438312448 上海 浦东 康桥 海尚康庭 73 整租 南 3100元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2310632020742504448 上海 浦东 洋泾 凌三小区 39 整租 南/北 3400元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 7层 无 NULL 民水 民电 无 NULL 
SH2314248833733246976 上海 闵行 老闵行 东江小区 28 整租 南 1799元/月 (月付价) 1室 1厅 1卫 随时入住 1~12个月 随时可 3 4层 NULL NULL NULL NULL NULL NULL 
SH2295488913542234112 上海 普陀 光新 石泉路180弄 48 整租 南 4600元/月 NULL 1室 1厅 1卫 2019-08-10 NULL 需提前预约 高楼层 7层 无 NULL 民水 民电 无 NULL 
SH2315167720125243392 上海 虹口 凉城 广中小区 14 合租 南 2430元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 4 7层 无 NULL 民水 民电 有 NULL 
SH2308638274022801408 上海 浦东 金桥 陈家宅小区(浦东大道) 35 整租 南 3300元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314370515558735872 上海 普陀 甘泉宜川 洛川路8号 54 整租 南/北 4300元/月 NULL 2室 0厅 1卫 2019-08-22 NULL 需提前预约 中楼层 7层 无 NULL 民水 民电 无 NULL 
SH2301867035044618240 上海 青浦 徐泾 蟠龙馨苑 12 合租 北 1500元/月 (月付价) 3室 1厅 1卫 随时入住 1~2年 随时可 2 18层 NULL NULL NULL NULL NULL NULL 
SH2290712568760901632 上海 浦东 张江 川杨新苑(一期) 27 合租 南 2100元/月 (月付价) 3室 1厅 3卫 随时入住 1年 随时可 11 14层 NULL NULL NULL NULL NULL NULL 
SH2302128689703559168 上海 浦东 合庆 张江人才公寓 25 合租 南 1500元/月 (月付价) 4室 1厅 1卫 2019-08-08 7~12个月 随时可 4 5层 无 免费使用 商水 商电 无 自采暖 
SH2267852000979337216 上海 黄浦 董家渡 长峰馨园 123 整租 南 14000元/月 (季付价) 2室 2厅 2卫 随时入住 2年以内 需提前预约 高楼层 32层 有 NULL 民水 民电 有 自采暖 
