城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼高 电梯 车位 用水 用电 燃气 供暖 
3 1 71 346 20 2 2 3600 3 3 1 1 2 0 4 2 6 2 1 1 1 1 2
3 9 136 763 58 1 2 2000 0 1 1 1 2 0 5 1 14 2 0 1 1 1 0
3 9 130 427 66 1 2 1000 0 2 1 1 2 0 5 3 5 1 0 1 1 1 0
3 14 41 1416 9 2 4 1390 1 3 1 1 2 12 4 2 16 0 0 0 0 0 0
3 16 52 320 10 2 4 1590 1 4 1 2 2 12 4 1 6 2 0 1 1 2 0
3 10 129 1339 25 2 2 2800 3 3 1 3 2 12 4 1 35 2 2 1 1 2 2
3 3 26 83 15 1 2 2800 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 4 17 1147 40 1 2 3000 0 1 1 1 2 0 5 2 6 1 0 1 1 1 0
3 9 7 714 12 2 2 1500 3 4 1 1 2 12 4 3 18 2 2 1 1 1 2
3 13 93 46 12 2 2 1400 1 3 1 1 2 12 4 1 6 1 2 1 1 1 0
3 1 74 811 86 1 2 8700 1 2 1 1 1 24 5 3 25 2 0 1 1 1 0
3 10 46 1007 39 1 2 4800 0 1 0 1 2 0 4 2 6 1 0 1 1 1 0
3 4 159 625 41 1 2 4000 0 1 1 1 1 0 5 2 6 1 0 1 1 1 0
3 4 121 379 12 2 4 1700 1 4 1 2 2 12 4 2 24 2 2 1 1 2 0
3 9 130 498 91 1 2 3500 0 2 2 1 2 0 1 3 18 2 0 1 1 1 0
3 12 20 876 16 2 2 4800 3 4 2 2 2 12 4 2 28 2 0 1 1 2 0
3 14 131 996 10 2 4 1250 3 3 1 1 2 12 4 1 18 1 2 1 1 2 0
3 1 71 346 130 1 2 13500 1 3 2 2 2 12 5 3 12 2 0 1 1 1 0
3 9 98 1331 56 1 2 3600 1 1 1 1 2 12 5 2 18 2 0 1 1 2 0
3 9 130 428 96 1 2 3600 0 2 2 1 2 0 5 3 6 1 0 1 1 1 0
3 16 52 288 15 2 2 1830 1 3 1 1 2 12 4 3 6 1 0 1 1 2 0
3 1 163 1594 126 1 6 15000 0 3 2 2 2 0 5 1 37 2 0 1 1 2 0
3 10 35 325 15 2 2 3300 3 4 1 2 2 0 4 2 27 2 0 1 1 2 0
3 17 2 495 50 1 1 1800 0 1 1 1 2 0 5 2 20 1 0 1 1 1 0
3 10 35 1387 30 1 2 5300 1 1 1 1 1 12 5 2 5 1 0 1 1 1 2
3 10 119 1584 20 2 2 2500 1 3 1 1 2 0 4 3 6 1 0 0 0 2 2
3 16 21 285 8 2 4 1490 1 3 1 1 2 12 4 3 9 2 2 1 1 2 0
3 9 44 404 20 2 2 1500 1 3 1 1 2 12 4 3 11 2 2 1 1 1 0
3 9 136 1557 73 1 2 3100 0 2 1 1 2 0 5 3 5 1 0 1 1 1 0
3 9 57 1130 39 1 2 3400 0 1 1 1 2 0 5 3 7 1 0 1 1 1 0
3 16 111 1426 28 1 2 1799 3 1 1 1 2 12 4 3 4 0 0 0 0 0 0
3 4 147 1603 48 1 2 4600 0 1 1 1 1 0 5 3 7 1 0 1 1 1 0
3 2 103 1277 14 2 2 2430 1 3 1 1 2 12 4 2 7 1 0 1 1 2 0
3 9 112 328 35 1 2 3300 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 4 159 515 54 1 2 4300 0 2 0 1 1 0 5 2 7 1 0 1 1 1 0
3 6 32 933 12 2 4 1500 3 3 1 1 2 24 4 1 18 0 0 0 0 0 0
3 9 142 1560 27 2 2 2100 3 3 1 3 2 12 4 3 14 0 0 0 0 0 0
3 9 33 1138 25 2 2 1500 3 4 1 1 1 12 4 3 5 1 1 2 2 1 2
3 1 6 140 123 1 2 14000 1 2 2 2 2 24 5 3 32 2 0 1 1 2 2
3 4 159 668 39 1 2 3500 0 1 1 1 2 0 5 2 6 1 0 1 1 1 0
3 15 100 395 46 1 2 1800 0 2 0 1 1 0 5 2 6 1 0 1 1 1 0
3 10 68 152 30 1 2 5500 0 1 0 1 2 0 2 1 6 1 0 1 1 2 0
3 16 155 842 12 2 2 1680 3 5 1 2 2 12 4 3 12 2 0 1 1 2 0
3 16 21 4 15 2 4 1300 3 4 2 2 2 24 4 2 5 1 2 1 1 1 0
3 11 162 919 34 1 2 4000 1 1 1 1 1 0 5 1 7 1 0 1 1 1 0
3 12 59 1057 36 1 2 7500 1 1 1 1 1 36 5 2 4 1 0 1 1 1 0
3 14 13 385 10 2 2 1590 1 3 1 1 2 12 4 3 6 1 0 1 1 2 0
3 6 32 368 18 1 2 1800 3 1 0 1 2 12 4 2 3 0 0 0 0 0 0
3 4 161 201 47 1 4 4400 1 1 1 1 2 24 5 1 10 1 0 2 2 1 0
3 12 145 991 70 1 2 9500 1 2 1 1 2 12 5 2 6 1 0 1 1 1 0
3 4 132 1185 18 2 2 3300 1 4 1 1 2 12 4 2 35 2 0 1 1 1 0
3 9 136 175 73 1 2 2800 0 2 2 1 2 0 5 2 14 2 0 1 1 1 0
3 13 148 78 12 2 2 1200 3 5 1 2 2 12 4 2 6 0 0 0 0 0 0
3 2 90 750 36 1 2 4300 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 12 59 1367 61 1 2 8000 0 2 1 1 1 0 5 3 7 1 0 1 1 1 0
3 12 145 1555 41 1 2 7500 1 1 1 1 1 36 5 2 6 1 0 1 1 1 0
3 6 32 158 22 1 3 1500 1 1 0 1 2 12 4 3 4 0 0 0 0 0 0
3 11 113 1415 20 2 2 2800 3 3 1 1 2 12 4 2 12 2 0 1 1 1 0
3 12 164 1353 15 2 2 3380 3 5 2 2 2 12 4 2 27 2 2 1 1 2 2
3 10 35 1329 39 1 2 5200 1 1 1 1 1 24 5 3 6 1 0 1 1 2 2
3 9 130 860 93 1 2 2500 0 2 2 1 2 0 5 3 6 1 0 1 1 1 0
